Gene,Group 1 Fold Regulation,Comments,Group 2 Fold Regulation,Comments,Group 3 Fold Regulation,Comments,Group 4 Fold Regulation,Comments
Adora1,-4.66,A,-3.14,A,-8.31,A,-3.1,A
Ahsg,-15.36,A,-19.82,A,-28.51,A,-14.41,A
Aif1,-1.75,,-1.32,,-1.79,,-1.54,
Aimp1,-3.43,,-2.83,,-1.42,,-2.75,
Apcs,-1.02,,-1.37,,-2.73,,-1.14,
Apoa2,-61.89,A,-92.31,A,-211.47,A,-98.84,A
Apol7a,1.82,,5.66,A,3.2,A,2.84,
Apol8,-2.56,,-3.44,,-3.32,,-2.85,
Areg,-12.53,A,-4.35,A,-2.16,,-6.6,A
Bcl6,-2.98,,-3.72,,-4.83,,-3.66,
Blnk,-3.71,,-4.94,,-1.95,,-3.76,
Bmp1,-4.96,,-3.47,,-2.71,,-2.75,
Bmp2,-5.74,A,-8.45,A,-4.23,A,-3.15,A
Bmp3,-5.24,,-9.88,,-6.42,,-6.16,
Bmp7,-3.99,A,-5.67,A,-1.7,,-3.34,A
C3,-2.3,,-1.95,,-4.75,,-2.68,
C3ar1,-1.83,A,-3.22,A,-3.59,A,-2.87,A
C4a,-1.03,,-1.27,,-2.81,,-1.82,
Cast,-3.81,,-5.11,,-4.05,,-4.25,
Ccl1,2.25,C,1.68,C,-1.19,C,2.02,C
Ccl11,-5.08,A,-7.27,A,-1.36,,-4.07,A
Ccl12,1.38,,8.78,,-1.18,,1.87,
Ccl17,1.14,A,7.76,,1.42,,1.08,A
Ccl19,-1.73,,1.14,,1.15,,1.2,
Ccl2,3.51,,30.26,,-1.18,,4.57,
Ccl20,-2.78,,18.96,A,-2.03,,1.56,
Ccl22,-2.37,,-1.45,,-2.72,,-2.03,
Ccl24,-1.43,,-1.92,,-3.83,,-1.24,
Ccl25,-7.27,A,-4.13,A,-2.38,,-5.67,A
Ccl28,1.02,,-1.76,,-2.64,,-1.03,
Ccl3,-1.1,A,5.66,,-1.91,,1.31,
Ccl4,1.97,,15.36,,-2.58,A,2.41,
Ccl5,-3.1,,-2.27,,-1.93,,-2.39,
Ccl6,-2.11,,-1.84,,-1.33,,-2.19,
Ccl7,4.35,,39.87,,1.04,,6.35,
Ccl8,1.45,,2,,1.48,,3.64,
Ccl9,-5.13,A,1.35,,-3.75,A,-3.15,A
Ccr1,-1.86,A,1.65,,-2.73,,-1.48,
Ccr10,-3.11,A,-6.23,A,-2.79,A,-1.7,A
Ccr2,-1.78,,-2.55,,-2.19,,-1.83,
Ccr3,-2.77,A,-3.25,A,-4.2,,-3.25,A
Ccr4,-6.17,,-7.7,,-12.95,,-8.43,
Ccr5,-1.49,A,1.2,,-2.63,,-1.47,
Ccr6,-2.36,A,-15.49,A,-3.41,,-2.94,A
Ccr7,-3.06,,-2.98,,-2.07,,-3.33,
Ccr8,-2.7,,-6.36,,-5.65,,-1.16,
Ccr9,-4.21,A,-7.67,A,-6.06,A,-3.89,A
Ackr4,-8.49,,-47.86,A,-7.94,,-13.7,
Ccrl2,-2.73,,-2.12,,-3.38,,-3.08,
Cd14,-1.8,,3.93,,-1.55,,-1.2,
Cd180,-1.5,A,-2.57,A,-3.49,,-3.1,A
Cd27,-3.71,,-6.27,,-3.63,,-5,
Cd28,-3.16,A,-10.26,A,-11.46,A,-5.44,A
Cd4,-1.41,A,-5.65,A,-5.53,A,-2.92,A
Cd40,-3.19,,-1.52,,-1.74,,-3.43,
Cd40lg,-1.81,,-3.67,,-4.12,,-3.34,
Cd70,1.62,,1.2,,-1.65,,1.45,
Cd74,-2.5,,-3.3,,-2.72,,-2.98,
Cd86,-2.7,A,-1.47,,-2.76,,-2.63,A
Adgre5,-3.25,,-2.24,,-1.4,,-2.55,
Cebpb,-5,,-4.21,,-5.3,,-7.78,
Cer1,2.25,C,1.68,C,-1.19,C,2.02,C
Cklf,-2.29,,-2.5,,-3.2,,1.2,
Clcf1,-4.44,A,-4.26,,-2.48,,-3.26,
Cmtm1,2.25,C,1.68,C,-1.19,C,2.02,C
Cmtm2a,2.25,C,1.68,C,-1.19,C,2.02,C
Cntfr,-4.01,A,-6.79,A,-5.21,A,-3.72,A
Crp,-1.79,,-1.26,,-4.79,,-2,
Csf1,-2.59,,-2.27,,-4.25,,-3.78,
Csf2,-1.4,A,3.11,,-1.65,A,2.79,
Csf2ra,-11.32,A,-12.27,A,-17.96,A,-8.29,A
Csf3,-7.67,,-1.48,,-20.51,,-8.54,
Csf3r,-3.89,A,-2.4,,-7.37,,-4.05,A
Ctf1,-7.78,A,-8.58,A,-4.97,A,-5.1,A
Ctf2,-3.31,,-4.45,,-4.65,,-3.69,
Cx3cl1,-3.96,A,-10.17,A,-6.3,,-4.85,A
Cx3cr1,-1.09,,-2.67,,-2.16,,-1.6,
Cxcl1,1.54,,21.05,A,-1.32,,3.15,
Cxcl10,14.98,A,108.94,A,-1.27,,10.73,A
Cxcl11,6.02,,6.28,,1.78,,1.88,
Cxcl12,-3.95,,-8.48,,-6.14,,-4.19,
Cxcl13,-3.01,,-1.26,,-1.29,,-1.91,
Cxcl14,-3.25,A,-2.6,,-1.94,,-4.28,A
Cxcl15,-4.19,,-3.39,,-2.66,,-3.3,
Cxcl16,-3.23,,-1.31,,-2.85,,-3.48,
Cxcl2,1.6,,32.16,A,-2.62,,5.02,
Cxcl5,3.91,,54.65,A,-1.7,,8.26,A
